question,answer,text
"Name the constellation in the Northern hemisphere that contains the very bright star Vega, a part of the summer triangle?",LYRA,"Name the constellation in the Northern hemisphere that contains the very bright star Vega, a part of the summer triangle? LYRA"
On which Wrexham Street could you once have visited a popular shop named Walter Roberts?,HOPE STREET,On which Wrexham Street could you once have visited a popular shop named Walter Roberts? HOPE STREET
Who was the Prime Minister of Prussia from 1862 to,OTTO VON BISMARK,Who was the Prime Minister of Prussia from 1862 to OTTO VON BISMARK
The adjective ' caprine ' refers to which type of animal ?,GOAT,The adjective ' caprine ' refers to which type of animal ? GOAT
What animal is a Bichon Frise?,Dog,What animal is a Bichon Frise? Dog
"Which 'school' has witnessed: 'Blue Murder', 'Pure Hell' and a 'Train Robbery'?",ST TRINIANS,"Which 'school' has witnessed: 'Blue Murder', 'Pure Hell' and a 'Train Robbery'? ST TRINIANS"
Which rock singer's real name is Paul Hewson?,Bono,Which rock singer's real name is Paul Hewson? Bono
Melbourne is the capital of which Australian state?,Victoria,Melbourne is the capital of which Australian state? Victoria
Doctor Herman Tarnower was responsible for which well known diet,The Scarsdale Diet,Doctor Herman Tarnower was responsible for which well known diet The Scarsdale Diet
In which Bond film did Rowan Atkinson first appear,Never Say Never Again,In which Bond film did Rowan Atkinson first appear Never Say Never Again
Which national park is named after the Maasai term for 'endless plains'?,SERENGETI,Which national park is named after the Maasai term for 'endless plains'? SERENGETI
Who was manager of the England football team from 1946 to 1962?,Walter Winterbottom,Who was manager of the England football team from 1946 to 1962? Walter Winterbottom
Whose parents were Edmund Tudor and Margaret Beaufort?,HENRY VII,Whose parents were Edmund Tudor and Margaret Beaufort? HENRY VII
What number Pennsylvania Avenue is the address of the White House?,1600,What number Pennsylvania Avenue is the address of the White House? 1600
What was Christopher Latham Scholes' significant invention of 1868?,Typewriter,What was Christopher Latham Scholes' significant invention of 1868? Typewriter
Who was King of Denmark in Shakespeare’s Hamlet?,Claudius,Who was King of Denmark in Shakespeare’s Hamlet? Claudius
Which Nobel prize-winning British playwright died in December 2008?,Harold Pinter,Which Nobel prize-winning British playwright died in December 2008? Harold Pinter
"Who, in 1923, wrote 'Toward An Architecture'?",LE CORBUSIER,"Who, in 1923, wrote 'Toward An Architecture'? LE CORBUSIER"
Who wrote the 1921 opera The Love for Three Oranges'?,Prokofiev,Who wrote the 1921 opera The Love for Three Oranges'? Prokofiev
"""Which American President used the slogan: """"It's morning again in America"""" for his presidential campaign?""",RONALD REAGAN,"""Which American President used the slogan: """"It's morning again in America"""" for his presidential campaign?"" RONALD REAGAN"
In Hi De Hi who was Peggy’s never seen supervisor?,Miss Cathcart,In Hi De Hi who was Peggy’s never seen supervisor? Miss Cathcart
Te Ika a Maui and Te Waipounamu are the two main islands of which country?,New Zealand,Te Ika a Maui and Te Waipounamu are the two main islands of which country? New Zealand
Panama disease destroys what crop?,Bananas,Panama disease destroys what crop? Bananas
What award is the television equivalent of the Oscars?,Emmys,What award is the television equivalent of the Oscars? Emmys
"""""""A pitch"""" is the way that the ball is put into play in which game?""",Baseball,"""""""A pitch"""" is the way that the ball is put into play in which game?"" Baseball"
"Manhattan is surrounded by three rivers, the East, Harlem and which other",Hudson,"Manhattan is surrounded by three rivers, the East, Harlem and which other Hudson"
"Which creature has varieties called Chinook, Chum, Coho, Sockeye and Steelhead?",Salmon,"Which creature has varieties called Chinook, Chum, Coho, Sockeye and Steelhead? Salmon"
"Which television scriptwriter created the children's programmes 'The Clangers', 'Ivor the Engine' and 'Bagpuss'?",OLIVER POSTGATE,"Which television scriptwriter created the children's programmes 'The Clangers', 'Ivor the Engine' and 'Bagpuss'? OLIVER POSTGATE"
What was the first forename of the Russian composer Stravinsky?,Igor,What was the first forename of the Russian composer Stravinsky? Igor
Who composed the march-like tune 'St Gertrude' used for the hymn 'Onward Christian Soldiers' ?,(Arthur) SULLIVAN,Who composed the march-like tune 'St Gertrude' used for the hymn 'Onward Christian Soldiers' ? (Arthur) SULLIVAN
What is the flagship campus of the University of California?,Berkeley,What is the flagship campus of the University of California? Berkeley
"Name the widely referenced Hindu god and eighth incarnation of Vishnu, from Sankrit meaning 'black'?",Krishna,"Name the widely referenced Hindu god and eighth incarnation of Vishnu, from Sankrit meaning 'black'? Krishna"
"In 2010, who became the first person to win the Women's Singles title at the Australian Open tennis tournament 5 times?",Serena Williams,"In 2010, who became the first person to win the Women's Singles title at the Australian Open tennis tournament 5 times? Serena Williams"
In which US city do the American Football team known as the 'Browns' play their home games?,CLEVELAND,In which US city do the American Football team known as the 'Browns' play their home games? CLEVELAND
"In 1970, Russia’s (USSR) Venera 7 became the first manmade spacecraft to land successfully on which planet, and transmit data back to Earth?",Venus,"In 1970, Russia’s (USSR) Venera 7 became the first manmade spacecraft to land successfully on which planet, and transmit data back to Earth? Venus"
King John of England was the youngest son of which English monarch?,King Henry II,King John of England was the youngest son of which English monarch? King Henry II
"When measured in metres per second, in a vacuum, what's the speed of light to the nearest million ?",300 MILLION,"When measured in metres per second, in a vacuum, what's the speed of light to the nearest million ? 300 MILLION"
"""Who was the subject of the film """"I'm Not There"""", and did not appear in it?""",Bob Dylan,"""Who was the subject of the film """"I'm Not There"""", and did not appear in it?"" Bob Dylan"
"Almere, Tilburg and Breda are all cities in which European country?",Netherlands,"Almere, Tilburg and Breda are all cities in which European country? Netherlands"
Which US President was awarded a Nobel Peace Prize after his term in office?,Jimmy Carter,Which US President was awarded a Nobel Peace Prize after his term in office? Jimmy Carter
Myron Bolitar appears in a number of thrillers by whom?,HARLAN COBEN,Myron Bolitar appears in a number of thrillers by whom? HARLAN COBEN
"Detective Richard Poole until his death, and following that detective Humphrey Goodman, have both been the main protagonists in which BBC drama series?",Death in Paradise,"Detective Richard Poole until his death, and following that detective Humphrey Goodman, have both been the main protagonists in which BBC drama series? Death in Paradise"
Of which American city was Richard Daley the mayor from 1955 to 1976?,Chicago,Of which American city was Richard Daley the mayor from 1955 to 1976? Chicago
Pimm’s No.1 is based on which spirit?,Gin,Pimm’s No.1 is based on which spirit? Gin
What is the name of the six-letter ore from which niobium and tantalum are extracted and whose mining is said to have fueled many modern day African conflicts?,Coltan,What is the name of the six-letter ore from which niobium and tantalum are extracted and whose mining is said to have fueled many modern day African conflicts? Coltan
‘The ultimate driving machine’ is an advertising slogan for which make of car?,BMW,‘The ultimate driving machine’ is an advertising slogan for which make of car? BMW
"Which Asian Country is an archipelago of 17,504 islands?",INDONESIA,"Which Asian Country is an archipelago of 17,504 islands? INDONESIA"
What was the name of the photographer in the film La Dolce Vita?,Paparazzo,What was the name of the photographer in the film La Dolce Vita? Paparazzo
"Given by the British tabloid press, what is the nickname of Mazher Mahmood, a journalist who devised various stings involving celebrities?",The Fake Sheikh,"Given by the British tabloid press, what is the nickname of Mazher Mahmood, a journalist who devised various stings involving celebrities? The Fake Sheikh"
In November 1982 Eltham Little Theatre in London was renamed after which performer born in Eltham in 1903 who raised funds for the theatre?,Bob Hope,In November 1982 Eltham Little Theatre in London was renamed after which performer born in Eltham in 1903 who raised funds for the theatre? Bob Hope
The food dish 'Chicken Montmorency' includes which fruit?,CHERRIES,The food dish 'Chicken Montmorency' includes which fruit? CHERRIES
"""Which comedian, a director of Fulham FC, had the catch phrase """"You Lucky People'?""",TOMMY TRINDER,"""Which comedian, a director of Fulham FC, had the catch phrase """"You Lucky People'?"" TOMMY TRINDER"
Which French author wrote the 1850 adventure story The Black Tulip ?,Alexandre Dumas,Which French author wrote the 1850 adventure story The Black Tulip ? Alexandre Dumas
Which country has the international telephone dialling code 27?,South Africa,Which country has the international telephone dialling code 27? South Africa
The sulphate/sulfate used as a contrast agent for gastro-intenstinal x-rays contains which metallic element?,Barium,The sulphate/sulfate used as a contrast agent for gastro-intenstinal x-rays contains which metallic element? Barium
Who plays the part of Jessica Fletcher in the TV series 'Murder She Wrote'?,Angela Lansbury,Who plays the part of Jessica Fletcher in the TV series 'Murder She Wrote'? Angela Lansbury
"On a regular clock face, which number lies opposite 10?",4,"On a regular clock face, which number lies opposite 10? 4"
